2894	0.30	8.35	0.00	9.71	0.97	25.07	60.47	68.90	1.02	11.88	8.92	1.54	8.14	51.70	51.25	6.73	2.17	67.46	5.55	0.16	0.46	0.00	1.98	0.63	12.54	10.39	19.53	0.46	6.55	1.23	0.63	1.71	31.50	31.25	1.06	0.15	18.75	2.76	153677	-36.62	0.1773	0.0018
2894	0.76	4.51	0.16	1.07	2.56	70.92	71.42	162.00	3.34	45.78	5.00	5.50	24.52	248.33	246.60	19.07	1.56	156.46	15.97	0.08	0.86	0.23	0.19	0.31	18.60	5.76	26.32	0.59	5.02	0.77	0.93	4.42	62.48	62.29	3.83	0.41	25.73	2.73	153976	-39.85	0.1118	0.0012
2905	0.55	7.01	0.00	1.75	2.87	50.15	67.75	98.50	2.77	26.50	5.34	2.93	12.85	128.15	127.14	9.70	1.90	95.30	9.37	0.10	1.37	0.00	0.62	0.71	8.96	5.33	21.04	0.73	4.76	0.18	0.44	2.35	33.44	33.30	1.89	0.13	20.49	2.99	163660	-39.05	0.1253	0.0012
2916	0.78	6.26	0.00	2.18	4.18	55.73	81.07	129.02	3.52	32.22	5.72	3.52	16.39	181.00	179.78	12.55	1.75	125.12	-18.43	0.21	0.70	0.00	2.14	1.20	8.98	11.78	28.21	0.36	6.23	2.06	0.45	4.40	62.07	61.87	3.86	0.16	27.53	12.55	171786	-39.03	0.1257	0.0010
2927	0.87	6.70	0.00	0.78	3.37	85.62	82.63	187.17	3.39	50.87	4.77	5.99	25.10	282.00	280.07	19.05	1.69	181.01	5.02	0.10	0.63	0.00	0.07	0.59	6.48	7.05	22.20	0.33	4.76	0.65	0.75	3.26	49.82	49.66	2.77	0.05	21.68	4.52	181203	-40.32	0.1045	0.0008
2940	0.41	10.47	0.00	4.23	2.88	32.58	65.87	77.90	4.68	16.67	6.80	2.27	9.79	96.40	95.77	7.81	2.05	75.88	-1.15	0.03	0.69	0.00	0.65	0.20	1.22	1.20	3.86	0.28	3.08	0.46	0.12	0.65	8.59	8.54	0.68	0.52	3.76	2.78	194102	-38.43	0.1369	0.0008
2949	0.20	11.47	0.00	15.50	2.76	23.23	67.60	50.77	4.69	12.05	9.04	1.87	5.24	37.67	37.21	3.81	1.94	49.31	5.30	0.03	2.48	0.00	2.12	0.95	4.83	6.52	6.11	0.43	2.91	0.81	0.36	0.30	6.63	6.53	0.47	0.06	5.76	1.81	203517	-37.23	0.1625	0.0009
2961	0.22	10.77	0.00	8.71	3.21	24.70	68.72	52.85	3.53	13.02	8.64	1.21	5.66	47.80	47.31	4.11	1.89	51.28	2.13	0.04	1.12	0.00	2.34	0.82	3.66	6.90	8.02	0.77	1.89	0.61	0.40	0.52	10.67	10.60	0.31	0.08	7.80	0.57	218132	-36.47	0.1812	0.0008
2971	0.14	11.97	0.00	9.75	2.66	23.02	70.82	44.98	4.84	11.19	9.76	1.98	5.44	33.33	32.90	4.11	2.08	43.63	4.90	0.03	2.46	0.00	3.74	0.67	2.35	3.04	2.33	0.60	1.88	1.28	0.05	0.19	5.62	5.55	0.16	0.15	2.20	0.93	231224	-37.14	0.1646	0.0006
2982	0.24	9.78	0.00	4.70	2.65	31.00	71.24	66.80	4.00	18.24	8.71	2.48	8.78	82.24	81.55	6.61	1.73	64.59	4.40	0.08	1.55	0.00	1.10	0.86	5.27	4.93	17.05	0.22	4.19	0.77	0.21	1.87	25.98	25.82	1.39	0.12	16.55	0.78	249791	-37.37	0.1593	0.0005
2993	0.26	11.10	0.00	4.75	2.50	29.72	66.93	60.67	4.68	16.57	8.18	2.42	8.33	70.07	69.44	6.36	1.80	58.66	4.34	0.02	0.68	0.00	0.53	0.27	1.01	0.77	3.21	0.38	0.95	0.14	0.17	0.55	8.35	8.32	0.46	0.08	3.15	1.02	276443	-37.14	0.1646	0.0004
3004	0.34	9.72	0.00	3.70	2.46	35.92	66.30	67.20	3.80	19.05	8.29	2.38	9.69	86.67	85.95	7.42	1.90	64.90	2.53	0.11	1.52	0.00	1.19	0.36	5.60	1.91	12.21	0.57	3.69	0.63	0.08	2.00	24.61	24.47	1.56	0.12	11.77	1.07	314629	-37.77	0.1505	0.0002
3016	0.14	12.97	0.00	9.02	1.80	19.80	59.43	39.63	2.93	9.86	7.77	1.65	5.59	36.37	35.99	4.42	2.02	38.44	2.47	0.02	0.85	0.00	0.08	0.02	0.99	0.13	2.03	0.26	1.10	0.10	0.06	0.54	6.72	6.68	0.41	0.13	1.89	0.28	386373	-36.17	0.1891	0.0001
